Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
0,0,0.186704,-0.003818,-0.085979,0,3,83106,0,0,0,0,0.274987,-0.004274,-0.006899,0.007953,-0.001635,-0.02343,1.25,0,0,0,0,0,0
0,0,0.166358,-0.008094,-0.083994,0,3,83116,0.01,0,0,0,0.287485,-0.00451,-0.0072,0.00728,-0.003892,-0.023163,1.25,0,0,0,0,0,0
0,0,0.129257,-0.00901,-0.092546,0,3,83137,0.031,0,0,0,0.312483,-0.004993,-0.007802,0.007097,-0.004524,-0.023672,1.25,0,0,0,0,0,0
0,0,0.135241,-0.014508,-0.093921,0,3,83156,0.05,0,0,0,0.337479,-0.005501,-0.008425,0.005821,-0.009296,-0.025379,1.25,0,0,0,0,0,0
0,0,0.111304,-0.013897,-0.095448,0,3,83176,0.07,0,0,0,0.362476,-0.006043,-0.009085,0.004834,-0.012118,-0.026039,1.25,0,0,0,0,0,0
0,0,0.104123,-0.015577,-0.094379,0,3,83197,0.091,0,0,0,0.387471,-0.006608,-0.009757,0.004313,-0.014438,-0.025857,1.25,0,0,0,0,0,0
0,0,0.093352,-0.014508,-0.090713,0,3,83216,0.11,0,0,0,0.412467,-0.007186,-0.010422,0.004109,-0.014615,-0.025189,1.25,0,0,0,0,0,0
0,0,0.076596,-0.017715,-0.085674,0,3,83236,0.13,0,0,0,0.437462,-0.00777,-0.011065,0.003339,-0.015691,-0.023903,1.25,0,0,0,0,0,0
0,0,0.080187,-0.020464,-0.090103,0,3,83256,0.15,0,0,0,0.462457,-0.008353,-0.011676,0.003563,-0.017443,-0.024276,1.25,0,0,0,0,0,0
0,0,0.05266,-0.018479,-0.086437,0,3,83276,0.17,0,0,0,0.487452,-0.008964,-0.01231,0.002521,-0.018296,-0.024147,1.25,0,0,0,0,0,0
0,0,0.050266,-0.015119,-0.088575,0,3,83286,0.18,0,0,0,0.499949,-0.009272,-0.01262,0.002247,-0.017226,-0.024207,1.25,0,0,0,0,0,0
0,0,0.05266,-0.022297,-0.087659,0,3,83306,0.2,0,0,0,0.524943,-0.0099,-0.013242,0.002273,-0.020499,-0.024018,1.25,0,0,0,0,0,0
0,0,0.039495,-0.021991,-0.094073,0,3,83336,0.23,0,0,0,0.549936,-0.010549,-0.013875,0.001729,-0.02179,-0.02553,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0.017952,-0.02138,-0.093462,0,3,83347,0.241,0,0,0,0.562433,-0.010885,-0.014203,0.00104,-0.023621,-0.02587,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0.040692,-0.021686,-0.08995,0,3,83367,0.261,0,0,0,0.587426,-0.011574,-0.014867,0.00165,-0.022392,-0.024976,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0.032314,-0.021533,-0.093462,0,3,83387,0.281,0,0,0,0.612418,-0.012271,-0.015515,0.00142,-0.022188,-0.025499,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0.021543,-0.022602,-0.090255,0,3,83407,0.301,0,0,0,0.63741,-0.012986,-0.016165,0.000969,-0.020589,-0.024797,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0.017952,-0.021991,-0.087812,0,3,83427,0.321,0,0,0,0.662401,-0.01371,-0.016802,0.000811,-0.022014,-0.02428,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0.014362,-0.019242,-0.089186,0,3,83446,0.34,0,0,0,0.687393,-0.014443,-0.017424,0.000594,-0.021286,-0.024258,1.25,0,0,0,0,0,0
1.006837036,0.209085174,0,-0.023824,-0.092241,0,3,83467,0.361,0,0,0,0.712383,-0.015197,-0.018057,0.000025,-0.023527,-0.025122,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.023936,-0.01741,-0.092699,0,3,83487,0.381,0,0,0,0.737373,-0.015973,-0.018704,-0.000569,-0.021414,-0.025114,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.027527,-0.020922,-0.087659,0,3,83507,0.401,0,0,0,0.762363,-0.016767,-0.019353,-0.001133,-0.021126,-0.024447,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.058644,-0.012523,-0.089797,0,3,83527,0.421,0,0,0,0.787352,-0.017567,-0.019983,-0.002289,-0.019079,-0.024555,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.035905,-0.015272,-0.092088,0,3,83546,0.44,0,0,0,0.81234,-0.018384,-0.020615,-0.001633,-0.01675,-0.024957,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.069416,-0.014355,-0.091477,0,3,83567,0.461,0,0,0,0.837328,-0.019223,-0.021258,-0.002922,-0.016624,-0.025028,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.069416,-0.011759,-0.092546,0,3,83587,0.481,0,0,0,0.862316,-0.020079,-0.021905,-0.002936,-0.014721,-0.025281,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.087368,-0.010079,-0.092393,0,3,83607,0.501,0,0,0,0.887302,-0.020958,-0.022565,-0.003012,-0.014171,-0.025605,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.10173,-0.008247,-0.096364,0,3,83627,0.521,0,0,0,0.912289,-0.021852,-0.023222,-0.00422,-0.012573,-0.026031,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.089762,-0.001833,-0.093004,0,3,83647,0.541,0,0,0,0.937274,-0.022768,-0.023889,-0.003754,-0.007428,-0.02556,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.102927,-0.004429,-0.09499,0,3,83666,0.56,0,0,0,0.962259,-0.023695,-0.024546,-0.004294,-0.006531,-0.025821,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.100533,0.001527,-0.092852,0,3,83687,0.581,0,0,0,0.987243,-0.024641,-0.025205,-0.003808,-0.005239,-0.025307,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.082581,0.002138,-0.094684,0,3,83697,0.591,0,0,0,0.999735,-0.025117,-0.025531,-0.004186,-0.003628,-0.025373,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.057447,0.004276,-0.101251,0,3,83716,0.61,0,0,0,1.024719,-0.026086,-0.026189,-0.002544,-0.000039,-0.026976,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.073006,0.001527,-0.09728,0,3,83726,0.62,0,0,0,1.03721,-0.026585,-0.026536,-0.003003,-0.000374,-0.026754,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.068219,0.001833,-0.097128,0,3,83746,0.64,0,0,0,1.062192,-0.027594,-0.027223,-0.002869,-0.000231,-0.026599,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.064628,0.004276,-0.096669,0,3,83767,0.661,0,0,0,1.087173,-0.028618,-0.027907,-0.002706,0.001386,-0.026468,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.041889,0.007483,-0.096364,0,3,83786,0.68,0,0,0,1.112154,-0.02966,-0.028592,-0.001795,0.004317,-0.026483,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.015559,0.011454,-0.094226,0,3,83806,0.7,0,0,0,1.137134,-0.030712,-0.029264,-0.000624,0.008269,-0.025764,1.25,0,0,0,0,0,0
1.006837036,0.209085174,-0.050266,0.008094,-0.100335,0,3,83826,0.72,0,0,0,1.162113,-0.031784,-0.029942,-0.00206,0.006675,-0.027257,1.25,0,0,0,0,0,0
