Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
1.0068375511,0.2090601600,-0.371014,0.001985,-0.098044,0.013104,3,440274,0,0,0,0,0.449986,-0.004813,-0.007099,-0.017684,-0.006508,-0.023656,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.318354,0.00336,-0.098044,0.013104,3,440284,0,0,0,0,0.479983,-0.005328,-0.007708,-0.014467,-0.005535,-0.020791,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.420084,0.000916,-0.101404,0.013104,3,440334,0,0,0,0,0.539977,-0.006335,-0.008772,-0.015316,-0.007326,-0.023877,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.536175,0.010232,-0.084147,0.013104,3,440384,0,0,0,0,0.599969,-0.007474,-0.009968,-0.020365,-0.007126,-0.02128,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.394951,0.003665,-0.08491,0.013104,3,440424,0,0,0,0,0.659961,-0.008577,-0.010954,-0.015379,-0.004613,-0.017819,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.198672,0.005345,-0.091019,0.013104,3,440474,0,0,0,0,0.719952,-0.009681,-0.011825,-0.006939,-0.000751,-0.018595,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.374605,0.003665,-0.093768,0.013104,3,440494,0,0,0,0,0.779941,-0.010973,-0.01297,-0.016354,-0.00583,-0.024186,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.402132,0.003971,-0.092699,0.013104,3,440524,0,0,0,0,0.869921,-0.013003,-0.014601,-0.014808,-0.004485,-0.021482,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.347078,0.005651,-0.093157,0.013104,3,440534,0,0,0,0,0.899914,-0.013716,-0.015154,-0.01324,-0.003238,-0.020098,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.368621,0.008705,-0.083536,0.013104,3,440554,0,0,0,0,0.959899,-0.015139,-0.016158,-0.014064,-0.00095,-0.018376,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.3387,0.004887,-0.089797,0.013104,3,440624,0,0,0,0,1.019884,-0.016599,-0.017118,-0.01274,-0.002142,-0.019485,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.36503,0.003207,-0.093462,0.013104,3,440644,0,0,0,0,1.079866,-0.018157,-0.018157,-0.013702,-0.004404,-0.020831,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.337503,0.001833,-0.088423,0.013104,3,440664,0,0,0,0,1.139846,-0.019782,-0.019205,-0.013267,-0.00677,-0.019787,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.411706,0.005651,-0.085368,0.013104,3,440684,0,0,0,0,1.199825,-0.021448,-0.020209,-0.0149,-0.005367,-0.019374,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.49309,0.005345,-0.087201,0.013104,3,440714,0,0,0,0,1.259802,-0.023168,-0.021202,-0.018778,-0.005636,-0.020581,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.458382,0.004123,-0.083841,0.013104,3,440724,0,0,0,0,1.289790,-0.024067,-0.021732,-0.018066,-0.005113,-0.018398,3,0,0,0,0,0,0
1.0068375511,0.2090601600,-0.481122,0.004581,-0.092852,0.013132,3,440754,0,0,0,0,1.349764,-0.025880,-0.02273,-0.018718,-0.005513,-0.020553,3,0,0,0,0,0,0
