Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
0,0,-0.307583,0.000916,-0.093768,0,3,245241,0,0,0,0,-0.000022,-0.004815,-0.0097,0.015075,-0.000403,-0.024719,0,0,0,0,0,0,0
0,0,-0.283646,-0.000153,-0.089339,0,3,245251,0.01,0,0,0,-0.000025,-0.005131,-0.010337,0.015503,-0.000086,-0.024693,0,0,0,0,0,0,0
0,0,-0.293221,0.002291,-0.089186,0,3,245271,0.03,0,0,0,-0.000032,-0.005759,-0.011601,0.014694,-0.000239,-0.024238,0,0,0,0,0,0,0
0,0,-0.300402,0,-0.089797,0,3,245291,0.05,0,0,0,-0.000039,-0.006372,-0.012837,0.01512,0.000109,-0.02374,0,0,0,0,0,0,0
0,0,-0.30878,-0.004887,-0.092852,0,3,245311,0.07,0,0,0,-0.000047,-0.006992,-0.014085,0.015736,-0.002059,-0.025155,0,0,0,0,0,0,0
0,0,-0.30878,-0.001833,-0.089339,0,3,245331,0.09,0,0,0,-0.000056,-0.007631,-0.015373,0.015562,-0.003028,-0.024044,0,0,0,0,0,0,0
0,0,-0.301599,-0.000611,-0.090866,0,3,245351,0.11,0,0,0,-0.000066,-0.008248,-0.016616,0.01527,-0.002039,-0.024211,0,0,0,0,0,0,0
0,0,-0.293221,0.001069,-0.095142,0,3,245371,0.13,0,0,0,-0.000077,-0.008879,-0.017888,0.015013,-0.000852,-0.025294,0,0,0,0,0,0,0
0,0,-0.278859,0.001374,-0.09331,0,3,245391,0.15,0,0,0,-0.000088,-0.009524,-0.019188,0.014373,-0.000305,-0.024965,0,0,0,0,0,0,0
0,0,-0.28963,-0.001222,-0.093157,0,3,245411,0.17,0,0,0,-0.000101,-0.010156,-0.020461,0.014843,-0.001769,-0.024848,0,0,0,0,0,0,0
0,0,-0.290827,0.000305,-0.092699,0,3,245431,0.19,0,0,0,-0.000114,-0.010785,-0.021728,0.014974,-0.001345,-0.024931,0,0,0,0,0,0,0
0,0,-0.31237,0.002596,-0.089186,0,3,245451,0.21,0,0,0,-0.000128,-0.011407,-0.022981,0.015674,0.000964,-0.023697,0,0,0,0,0,0,0
0,0,-0.28604,-0.000153,-0.091172,0,3,245471,0.23,0,0,0,-0.000142,-0.012024,-0.024223,0.014626,-0.00058,-0.024401,0,0,0,0,0,0,0
0,0,-0.296811,-0.001527,-0.09331,0,3,245491,0.25,0,0,0,-0.000157,-0.012649,-0.025483,0.015087,-0.001688,-0.024724,0,0,0,0,0,0,0
