Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,flag,flag,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),drct,drct,drct,drct,drct
1.0068737667,0.2090499353,-0.478728,0.141577,-0.01263,0.032115,2,448709,195,195,195,195,-0.720510,-3.627190,-40.983317,-0.006096,0.141295,0.031614,1.958482,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,-0.313567,0.135163,-0.009423,0.032187,2,448729,195,195,195,195,-0.759367,-3.622166,-40.982231,-0.006131,0.134915,0.031671,1.959895,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,-0.280056,0.129207,-0.018739,0.032362,2,448748,195,195,195,195,-0.798257,-3.617181,-40.981144,-0.005547,0.128976,0.031726,1.96126,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,-0.111304,0.137606,-0.026986,0.032563,2,448770,195,195,195,195,-0.837180,-3.612236,-40.980053,-0.00365,0.139539,0.031894,1.962578,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,-0.00359,0.134094,-0.033247,0.03266,2,448789,195,195,195,195,-0.876134,-3.607332,-40.978957,-0.00176,0.134054,0.031981,1.963852,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.126863,0.119128,-0.051573,0.032737,2,448808,195,195,195,195,-0.915119,-3.602469,-40.97786,0.000372,0.119128,0.031922,1.965082,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.142422,0.123862,-0.039814,0.032789,2,448829,195,195,195,195,-0.954133,-3.597645,-40.976763,0.003531,0.123926,0.032087,1.96627,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.093352,0.112408,-0.030498,0.032789,2,448849,195,195,195,195,-0.993177,-3.592862,-40.975661,0.004603,0.112296,0.032162,1.967418,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.005984,0.101412,-0.001787,0.032789,2,448870,195,195,195,195,-1.032248,-3.588122,-40.974557,0.004076,0.105438,0.032327,1.968526,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.046676,0.100191,0.00142,0.032789,2,448889,195,195,195,195,-1.071346,-3.583424,-40.973446,0.004389,0.100078,0.032392,1.969598,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.274072,0.10462,-0.017823,0.03283,2,448909,195,195,195,195,-1.110471,-3.578767,-40.972335,0.007038,0.104685,0.032267,1.970632,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.270481,0.096067,-0.029735,0.032974,2,448928,195,195,195,195,-1.149621,-3.574149,-40.971228,0.008199,0.09605,0.032271,1.971631,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.193885,0.082323,-0.04409,0.033128,2,448949,195,195,195,195,-1.188796,-3.569573,-40.970119,0.008265,0.082172,0.032339,1.972597,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.235774,0.070564,-0.03676,0.033144,2,448969,195,195,195,195,-1.227995,-3.565038,-40.969009,0.007567,0.068882,0.032437,1.973529,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.203459,0.06583,-0.032789,0.033144,2,448989,195,195,195,195,-1.267218,-3.560547,-40.967895,0.008231,0.065724,0.032497,1.97443,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.345881,0.060179,-0.031262,0.033144,2,449009,195,195,195,195,-1.306464,-3.556098,-40.966779,0.00916,0.060217,0.03251,1.9753,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.384179,0.055292,-0.02271,0.033144,2,449028,195,195,195,195,-1.345731,-3.551690,-40.965663,0.010574,0.055301,0.032572,1.976141,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.318354,0.047656,-0.024237,0.033144,2,449049,195,195,195,195,-1.385020,-3.547326,-40.964544,0.010923,0.047525,0.032559,1.976953,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.235774,0.033606,-0.030651,0.033144,2,449069,195,195,195,195,-1.424330,-3.543003,-40.963426,0.010659,0.041255,0.032603,1.977737,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.277662,0.032232,-0.032789,0.033108,2,449089,195,195,195,195,-1.463660,-3.538722,-40.962308,0.010062,0.032193,0.032492,1.978495,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.280056,0.031468,-0.045159,0.032948,2,449109,195,195,195,195,-1.503010,-3.534482,-40.961194,0.010459,0.031487,0.032317,1.979226,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.163964,0.021389,-0.04745,0.032557,2,449128,195,195,195,195,-1.542378,-3.530280,-40.960087,0.00883,0.021161,0.03204,1.979933,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.140028,0.012684,-0.038439,0.031766,2,449148,195,195,195,195,-1.581764,-3.526115,-40.95899,0.007631,0.012566,0.031551,1.980616,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.057447,0.012837,-0.025917,0.030542,2,449169,195,195,195,195,-1.621167,-3.521980,-40.957915,0.006341,0.01274,0.03062,1.981276,0,1.17,2.12,19.4,0,0
1.0068737667,0.2090499353,0.153193,0.016349,-0.031262,0.029133,2,449188,195,195,195,195,-1.660585,-3.517864,-40.956886,0.006408,0.016271,0.028547,1.981913,0,1.17,2.12,19.4,0,0
