Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,zero,zero,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2
0,0,0.247742,-0.017562,-0.089186,0,0.5,112517,0,0,0,0,0.14,-0.00002,-0.000036,0.008848,-0.017511,-0.000325,1,0,0,0,-0.000019,-0.000034
0,0,0.234577,-0.021838,-0.091019,0,0.5,112527,0.01,0,0,0,0.15,-0.000022,-0.000039,0.008366,-0.021875,-0.000332,1,0,0,0,-0.000022,-0.000039
0,0,0.187901,-0.025809,-0.085063,0,0.5,112547,0.03,0,0,0,0.17,-0.000026,-0.000045,0.007425,-0.025812,-0.00031,1,0,0,0,-0.000024,-0.000042
0,0,0.241758,-0.027031,-0.091019,0,0.5,112578,0.061,0,0,0,0.2,-0.000031,-0.000053,0.007372,-0.025255,-0.000336,1,0,0,0,-0.000029,-0.00005
0,0,0.241758,-0.027031,-0.091019,0,0.5,112587,0.07,0,0,0,0.21,-0.000033,-0.000056,0.007216,-0.027001,-0.000332,1,0,0,0,-0.000031,-0.000053
0,0,0.25971,-0.026114,-0.093768,0,0.5,112617,0.1,0,0,0,0.23,-0.000037,-0.000062,0.007391,-0.026051,-0.000342,1,0,-0.000001,0,-0.000035,-0.000059
0,0,0.214231,-0.025351,-0.0956,0,0.5,112647,0.13,0,0,0,0.25,-0.000041,-0.000067,0.007258,-0.025012,-0.000334,1,0,-0.000001,0,-0.000039,-0.000065
0,0,0.21064,-0.027031,-0.092393,0,0.5,112677,0.16,0,0,0,0.27,-0.000046,-0.000073,0.006849,-0.027021,-0.000337,1,0,-0.000001,0,-0.000043,-0.00007
0,0,0.226199,-0.021533,-0.089034,0,0.5,112687,0.17,0,0,0,0.28,-0.000048,-0.000076,0.007218,-0.021427,-0.000325,1,0,-0.000001,0,-0.000046,-0.000073
0,0,0.220215,-0.022297,-0.088117,0,0.5,112717,0.2,0,0,0,0.3,-0.000052,-0.000082,0.00703,-0.022261,-0.000321,1,0,-0.000001,0,-0.00005,-0.000079
0,0,0.20705,-0.020464,-0.086743,0,0.5,112727,0.21,0,0,0,0.31,-0.000054,-0.000085,0.007059,-0.020418,-0.000316,1,0,-0.000001,0,-0.000052,-0.000082
0,0,0.181917,-0.022755,-0.092393,0,0.5,112747,0.23,0,0,0,0.33,-0.000059,-0.00009,0.006498,-0.022741,-0.000337,1,0,-0.000001,0,-0.000056,-0.000087
0,0,0.185507,-0.019853,-0.093004,0,0.5,112767,0.25,0,0,0,0.35,-0.000063,-0.000096,0.006441,-0.019836,-0.000339,1,0,-0.000001,0,-0.000061,-0.000093
0,0,0.202263,-0.022755,-0.087048,0,0.5,112797,0.28,0,0,0,0.37,-0.000068,-0.000102,0.006148,-0.022714,-0.000317,1,0,-0.000001,0,-0.000066,-0.000099
0,0,0.12806,-0.022755,-0.094073,0,0.5,112807,0.29,0,0,0,0.38,-0.000071,-0.000104,0.005789,-0.022776,-0.000342,1,0,-0.000001,0,-0.000068,-0.000102
0,0,0.189098,-0.022755,-0.087965,0,0.5,112837,0.32,0,0,0,0.4,-0.000076,-0.00011,0.005969,-0.020573,-0.000331,1,0,-0.000001,0,-0.000073,-0.000107
0,0,0.181917,-0.02138,-0.084758,0,0.5,112847,0.33,0,0,0,0.41,-0.000078,-0.000113,0.005757,-0.022744,-0.000321,1,0,-0.000001,0,-0.000076,-0.00011
0,0,0.160374,-0.023671,-0.081856,0,0.5,112877,0.36,0,0,0,0.43,-0.000083,-0.000118,0.00545,-0.023682,-0.000298,1,0,-0.000001,0,-0.000081,-0.000116
0,0,0.120879,-0.013592,-0.087965,0,0.5,112887,0.37,0,0,0,0.44,-0.000085,-0.000121,0.005896,-0.013495,-0.00032,1,0,-0.000001,0,-0.000083,-0.000118
0,0,0.108911,-0.013439,-0.091019,0.000005,0.5,112917,0.4,0,0,0,0.46,-0.000091,-0.000126,0.005285,-0.013464,-0.000326,1,0,-0.000001,0,-0.000088,-0.000124
0,0,0.135241,-0.027184,-0.093462,0.000005,0.5,112927,0.41,0,0,0,0.47,-0.000093,-0.000129,0.004108,-0.027328,-0.000335,1,0,-0.000001,0,-0.000091,-0.000126
0,0,0.331519,-0.019548,-0.091172,0.000005,0.5,112957,0.44,0,0,0,0.49,-0.000099,-0.000135,0.0054,-0.019292,-0.000329,1,0,-0.000001,0,-0.000096,-0.000132
0,0,0.215428,-0.016493,-0.089034,0.000005,0.5,112967,0.45,0,0,0,0.5,-0.000101,-0.000138,0.005757,-0.016396,-0.00032,1,0,-0.000001,0,-0.000099,-0.000135
0,0,0.001197,-0.012981,-0.095142,0.000005,0.5,112997,0.48,0,0,0,0.52,-0.000107,-0.000143,0.004493,-0.013087,-0.00034,1,0,-0.000001,1,-0.000104,-0.00014
0,0,-0.094549,-0.009316,-0.092699,0.000005,0.5,113007,0.49,0,0,0,0.53,-0.00011,-0.000146,0.003722,-0.009447,-0.00033,1,0,-0.000001,1,-0.000107,-0.000143
1.006846743,0.209051553,0.007181,-0.009316,-0.094531,0.000005,0.5,113038,0.521,6,0,0,0.55,-0.000116,-0.000152,0.002894,-0.008159,-0.000328,1,0,-0.000001,1,-0.000113,-0.000149
1.006846743,0.209051553,0.007181,-0.009316,-0.094531,0.000005,0.5,113047,0.53,6,0,0,0.56,-0.000119,-0.000155,0.002428,-0.009382,-0.000338,1,0,-0.000001,1,-0.000116,-0.000152
1.006846743,0.209051553,0.120879,-0.001069,-0.08995,0.000005,0.5,113117,0.6,6,0,0,0.59,-0.000128,-0.000163,0.003738,-0.001047,-0.000323,1,0,-0.000001,1,-0.000125,-0.00016
1.006846743,0.209051553,0.191491,-0.002596,-0.08659,0.000005,0.5,113127,0.61,6,0,0,0.6,-0.000131,-0.000166,0.004019,-0.002533,-0.000311,1,0,-0.000001,1,-0.000128,-0.000163
1.006846743,0.209051553,0.191491,-0.000305,-0.090713,0.000005,0.5,113157,0.64,6,0,0,0.62,-0.000137,-0.000171,0.004843,-0.000244,-0.000326,1,0,-0.000001,1,-0.000134,-0.000169
1.006846743,0.209051553,0.15798,-0.002138,-0.094073,0.000005,0.5,113167,0.65,6,0,0,0.63,-0.00014,-0.000174,0.004829,-0.00213,-0.000338,1,0,-0.000002,1,-0.000137,-0.000171
1.006846743,0.209051553,0.061038,-0.002291,-0.088117,0.000005,0.5,113187,0.67,6,0,0,0.65,-0.000146,-0.00018,0.005109,0.001528,-0.000336,1,0,-0.000002,1,-0.000143,-0.000177
1.006846743,0.209051553,0.090958,-0.003971,-0.089492,0.000005,0.5,113217,0.7,6,0,0,0.67,-0.000153,-0.000186,0.004244,-0.004008,-0.00032,1,0,-0.000002,1,-0.000149,-0.000183
1.006846743,0.209051553,0.161571,-0.001374,-0.093768,0.000005,0.5,113247,0.73,6,0,0,0.69,-0.000159,-0.000191,0.004557,-0.00127,-0.000337,1,0,-0.000002,1,-0.000159,-0.000191
1.006846743,0.209051553,0.122076,0.003512,-0.096211,0.000005,0.5,113257,0.74,6,0,0,0.7,-0.000162,-0.000194,0.004336,-0.003541,-0.000336,1,0,-0.000002,1,-0.000162,-0.000194
1.006846743,0.209051553,0.116092,0.002291,-0.090408,0.000005,0.5,113287,0.77,6,0,0,0.72,-0.000169,-0.0002,0.004747,0.002269,-0.000324,1,0,-0.000002,1,-0.000166,-0.000197
1.006846743,0.209051553,0.120879,-0.003512,-0.095753,0.000005,0.5,113317,0.8,6,0,0,0.74,-0.000176,-0.000206,0.004313,-0.003503,-0.000344,1,0,-0.000002,1,-0.000173,-0.000203
1.006846743,0.209051553,0.089762,0,-0.092241,0.000005,0.5,113327,0.81,6,0,0,0.75,-0.00018,-0.000209,0.004439,0.000021,-0.00033,1,0,-0.000002,1,-0.000176,-0.000206
1.006846743,0.209051553,0.13165,0.002443,-0.093462,0.000005,0.5,113357,0.84,6,0,0,0.77,-0.000187,-0.000214,0.004738,0.002452,-0.000335,1,0,-0.000002,1,-0.000183,-0.000212
1.006846743,0.209051553,0.129257,0.002902,-0.098349,0.000005,0.5,113367,0.85,6,0,0,0.78,-0.00019,-0.000217,0.004811,0.002912,-0.000353,1,0,-0.000002,1,-0.000187,-0.000214
1.006846743,0.209051553,0.106517,0.004276,-0.095448,0.000005,0.5,113397,0.88,6,0,0,0.8,-0.000198,-0.000223,0.004792,0.00426,-0.000342,1,0,-0.000002,1,-0.000194,-0.00022
1.006846743,0.209051553,0.104123,0.003971,-0.089492,0.000005,0.5,113407,0.89,6,0,0,0.81,-0.000201,-0.000226,0.004709,0.003951,-0.00032,1,0,-0.000002,1,-0.000198,-0.000223
1.006846743,0.209051553,0.13165,-0.001374,-0.087506,0.000005,0.5,113437,0.92,6,0,0,0.84,-0.000212,-0.000235,0.004017,-0.001353,-0.000314,1,0,-0.000002,1,-0.000209,-0.000232
1.006846743,0.209051553,0.33511,0.007483,-0.086285,0.000005,0.5,113447,0.93,6,0,0,0.85,-0.000216,-0.000237,0.005678,0.007771,-0.000311,1,0,-0.000002,1,-0.000212,-0.000235
1.006846743,0.209051553,0.089762,0.006109,-0.09163,0.000005,0.5,113478,0.961,6,0,0,0.88,-0.000227,-0.000246,0.00573,0.00522,-0.000333,1,0,-0.000002,1,-0.000223,-0.000243
1.006846743,0.209051553,0.089762,0.006109,-0.09163,0.000005,0.5,113487,0.97,6,0,0,0.89,-0.000231,-0.000248,0.005572,0.00607,-0.000328,1,0,-0.000002,1,-0.000227,-0.000246
1.006846743,0.209051553,0.051463,0.005498,-0.093004,0.000005,0.5,113507,0.99,6,0,0,0.91,-0.000239,-0.000254,0.004843,0.00543,-0.000333,1,0,-0.000002,1,-0.000235,-0.000251
1.006846743,0.209051553,0.147209,0.001985,-0.093157,0.000005,0.5,113537,1.02,6,0,0,0.93,-0.000247,-0.00026,0.004833,0.002007,-0.000334,1,0,-0.000002,1,-0.000243,-0.000257
1.006846743,0.209051553,0.163964,0.008705,-0.095753,0.000005,0.5,113547,1.03,6,0,0,0.94,-0.000251,-0.000263,0.005516,0.008809,-0.000344,1,0,-0.000002,1,-0.000247,-0.00026
1.006846743,0.209051553,0.140028,0.012217,-0.094226,0.000005,0.5,113577,1.06,6,0,0,0.96,-0.000259,-0.000269,0.005872,0.012207,-0.000338,1,0,-0.000002,1,-0.000255,-0.000266
1.006846743,0.209051553,0.116092,0.011454,-0.09163,0.000005,0.5,113587,1.07,6,0,0,0.97,-0.000263,-0.000271,0.005752,0.011415,-0.000328,1,0,-0.000002,1,-0.000259,-0.000269
1.006846743,0.209051553,0.120879,0.009163,-0.093462,0.000005,0.5,113627,1.11,6,0,0,0.99,-0.000272,-0.000277,0.005102,0.002294,-0.000337,1,0,-0.000002,1,-0.000267,-0.000274
1.006846743,0.209051553,0.082581,0.015424,-0.098197,0.000005,0.5,113657,1.14,6,0,0,1.02,-0.000284,-0.000286,0.005815,0.01544,-0.000352,1,0,-0.000003,1,-0.00028,-0.000283
1.006846743,0.209051553,0.077793,0.012675,-0.096822,0.000005,0.5,113667,1.15,6,0,0,1.03,-0.000289,-0.000289,0.005411,0.012584,-0.000347,1,0,-0.000003,1,-0.000284,-0.000286
1.006846743,0.209051553,0.086171,0.012523,-0.100029,0.000005,0.5,113697,1.18,6,0,0,1.05,-0.000297,-0.000295,0.005151,0.01248,-0.000358,1,0,-0.000003,1,-0.000293,-0.000292
1.006846743,0.209051553,0.077793,0.003818,-0.096059,0.000005,0.5,113707,1.19,6,0,0,1.06,-0.000302,-0.000298,0.004352,0.003678,-0.000344,1,0,-0.000003,1,-0.000297,-0.000295
1.006846743,0.209051553,0.160374,0.010843,-0.093462,0.000005,0.5,113727,1.21,6,0,0,1.08,-0.000311,-0.000304,0.005323,0.010863,-0.000335,1,0,-0.000003,1,-0.000306,-0.000301
1.006846743,0.209051553,0.142422,0.014508,-0.095142,0.000005,0.5,113757,1.24,6,0,0,1.1,-0.00032,-0.00031,0.005794,0.014502,-0.000341,1,0,-0.000003,1,-0.000315,-0.000307
1.006846743,0.209051553,0.107714,0.016493,-0.094379,0.000005,0.5,113767,1.25,6,0,0,1.11,-0.000324,-0.000312,0.005874,0.016478,-0.000338,1,0,-0.000003,1,-0.00032,-0.00031
1.006846743,0.209051553,0.150799,0.009774,-0.089186,0.000005,0.5,113797,1.28,6,0,0,1.14,-0.000338,-0.000321,0.005433,0.009733,-0.00032,1,0,-0.000003,1,-0.000333,-0.000318
1.006846743,0.209051553,0.181917,0.013439,-0.08827,0.000005,0.5,113807,1.29,6,0,0,1.15,-0.000343,-0.000324,0.005968,0.013512,-0.000317,1,0,-0.000003,1,-0.000338,-0.000321
1.006846743,0.209051553,0.187901,0.015424,-0.094531,0.000005,0.5,113837,1.32,6,0,0,1.17,-0.000352,-0.000329,0.006587,0.015441,-0.000339,1,0,-0.000003,1,-0.000347,-0.000327
1.006846743,0.209051553,0.295615,0.015577,-0.0956,0.000005,0.5,113847,1.33,6,0,0,1.18,-0.000357,-0.000332,0.007269,0.015681,-0.000344,1,0,-0.000003,1,-0.000352,-0.000329
1.006846743,0.209051553,0.293221,0.014508,-0.09331,0.000005,0.5,113877,1.36,6,0,0,1.2,-0.000366,-0.000338,0.008276,0.014583,-0.000336,1,0,-0.000003,1,-0.000361,-0.000335
1.006846743,0.209051553,0.262104,0.004276,-0.096822,0.000005,0.5,113887,1.37,6,0,0,1.21,-0.000371,-0.000341,0.007818,0.004204,-0.000348,1,0,-0.000003,1,-0.000366,-0.000338
1.006846743,0.209051553,0.280056,0.005345,-0.094379,0.000005,0.5,113917,1.4,6,0,0,1.23,-0.000381,-0.000347,0.008577,0.0054,-0.000339,1,0,-0.000003,1,-0.000376,-0.000344
1.006846743,0.209051553,0.228593,0.004429,-0.099571,0.000005,0.5,113927,1.41,6,0,0,1.24,-0.000386,-0.00035,0.008559,0.004424,-0.000358,1,0,-0.000003,1,-0.000381,-0.000347
1.006846743,0.209051553,0.208247,0.000916,-0.096517,0.000005,0.5,113957,1.44,6,0,0,1.26,-0.000396,-0.000356,0.008221,0.000914,-0.000346,1,0,-0.000003,1,-0.000391,-0.000353
1.006846743,0.209051553,0.204656,-0.001985,-0.089034,0.000005,0.5,113987,1.47,6,0,0,1.28,-0.000406,-0.000362,0.007972,-0.002001,-0.000319,1,0,-0.000003,1,-0.000401,-0.000359
1.006846743,0.209051553,0.204656,0,-0.093615,0.000005,0.5,114007,1.49,6,0,0,1.3,-0.000416,-0.000367,0.008037,-0.000002,-0.000336,1,0,-0.000003,1,-0.000411,-0.000365
1.006846746,0.20905155,0.185507,0.002596,-0.090866,0.000005,0.5,114038,1.521,30,0,0,1.31,-0.000421,-0.00037,0.007743,0.002232,-0.000339,1,0,-0.000003,1,-0.000421,-0.00037
1.006846746,0.20905155,0.185507,0.002596,-0.090866,0.000005,0.5,114047,1.53,30,0,0,1.33,-0.000431,-0.000376,0.007649,0.002586,-0.000326,1,0,-0.000003,1,-0.000426,-0.000373
1.006846746,0.20905155,0.221412,-0.002443,-0.093004,0.000005,0.5,114077,1.56,30,0,0,1.35,-0.000442,-0.000382,0.007472,-0.002416,-0.000334,1,0,-0.000003,1,-0.000436,-0.000379
1.006846746,0.20905155,0.191491,-0.007636,-0.087201,0.000005,0.5,114087,1.57,30,0,0,1.36,-0.000447,-0.000385,0.007029,-0.007691,-0.000313,1,0,-0.000003,1,-0.000442,-0.000382
1.006846746,0.20905155,0.168752,0.002443,-0.095906,0.000005,0.5,114117,1.6,30,0,0,1.38,-0.000457,-0.00039,0.007529,0.002478,-0.000344,1,0,-0.000003,1,-0.000452,-0.000387
1.006846746,0.20905155,0.166358,0.000458,-0.092699,0.000005,0.5,114127,1.61,30,0,0,1.39,-0.000463,-0.000393,0.007254,0.000414,-0.000332,1,0,-0.000003,1,-0.000457,-0.00039
1.006846746,0.20905155,0.179523,-0.002596,-0.091172,0.000005,0.5,114157,1.64,30,0,0,1.41,-0.000473,-0.000399,0.006933,-0.002595,-0.000327,1,0,-0.000004,1,-0.000468,-0.000396
1.006846746,0.20905155,0.125666,-0.002291,-0.093921,0.000005,0.5,114167,1.65,30,0,0,1.42,-0.000479,-0.000401,0.006679,-0.00233,-0.000336,1,0,-0.000004,1,-0.000479,-0.000401
1.006846746,0.20905155,0.111304,0.000458,-0.09163,0.000005,0.5,114187,1.67,30,0,0,1.44,-0.00049,-0.000407,0.006311,0.00041,-0.000328,1,0,-0.000004,1,-0.000484,-0.000404
