Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,zero,zero,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2
1.006839186,0.209059031,0.112501,0.000913,0.000252,-0.006098,1,3352491,0,168,0,0,1331914.922,6414572.377,1.988799,0.001525,0.000972,-0.006079,0.999863,0,0.005209,1,-0.170739,0.622732
1.006839186,0.209059031,0.098139,0.003814,-0.003566,-0.006098,1,3352500,0.009,168,0,0,1331914.918,6414572.387,1.988747,0.001996,0.003892,-0.006093,0.999865,0,0.005211,1,-0.164928,0.62268
1.006839186,0.209059031,0.083777,0.0058,-0.004482,-0.006098,1,3352531,0.04,168,0,0,1331914.906,6414572.414,1.98859,0.002698,0.005787,-0.006096,0.999872,0,0.005215,1,-0.153308,0.622576
1.006839186,0.209059031,0.062235,0.007174,-0.000664,-0.006098,1,3352540,0.049,168,0,0,1331914.902,6414572.423,1.988538,0.002808,0.007181,-0.006081,0.999875,0,0.005217,1,-0.147498,0.622523
1.006839186,0.209059031,-0.051463,0.003204,-0.005857,-0.006047,1,3352610,0.119,168,0,0,1331914.893,6414572.441,1.988433,0.001586,0.003118,-0.006048,0.999879,0,0.00522,1,-0.13588,0.622419
1.006839186,0.209059031,5.681305,0.020308,0.138155,-0.006042,1,3352620,0.129,168,0,0,1331914.889,6414572.451,1.988381,0.027689,0.025181,-0.005579,0.999881,0,0.005222,1,-0.130072,0.622367
1.006839186,0.209059031,2.779016,0.079867,0.136628,-0.004638,1,3352660,0.169,168,0,0,1331914.881,6414572.469,1.988277,0.028963,0.086634,-0.004644,0.999885,0,0.005228,1,-0.11265,0.62221
1.006839186,0.209059031,0.599607,-0.031616,-0.075648,-0.003383,1,3352691,0.2,168,0,0,1331914.873,6414572.487,1.988199,0.020183,-0.031519,-0.003649,0.999889,0,0.00523,1,-0.106838,0.622171
1.006839186,0.209059031,-1.671958,-0.130118,-0.141774,-0.00292,1,3352700,0.209,168,0,0,1331914.869,6414572.496,1.988167,0.002759,-0.132985,-0.003406,0.999891,0,0.005232,1,-0.101026,0.622132
1.006839186,0.209059031,-0.388966,-0.053149,-0.020517,-0.000926,1,3352731,0.24,168,0,0,1331914.861,6414572.515,1.988117,0.002693,-0.053575,-0.000992,0.999895,0,0.005236,1,-0.089397,0.622071
1.006839186,0.209059031,0.428462,-0.056356,-0.038996,-0.000201,1,3352740,0.249,168,0,0,1331914.857,6414572.524,1.988109,0.003572,-0.056072,-0.000346,0.999897,0,0.005238,1,-0.083579,0.622051
1.006839186,0.209059031,-0.05266,-0.061395,-0.06282,0.002216,1,3352780,0.289,168,0,0,1331914.849,6414572.542,1.988108,0.001017,-0.061456,0.001981,0.9999,0,0.005243,1,-0.071931,0.622039
1.006839186,0.209059031,0.962243,-0.075293,-0.043119,0.003075,1,3352811,0.32,168,0,0,1331914.841,6414572.56,1.988146,0.006636,-0.074557,0.002899,0.999904,0,0.005247,1,-0.06027,0.622059
1.006839186,0.209059031,0.494287,-0.063533,-0.017769,0.003162,1,3352820,0.329,168,0,0,1331914.837,6414572.569,1.988171,0.008202,-0.06313,0.003084,0.999905,0,-0.002786,2,-0.390134,-0.311042
1.006839186,0.209059031,-0.305189,-0.091786,-0.009216,0.003147,1,3352851,0.36,168,0,0,1331914.829,6414572.588,1.988224,0.007267,-0.058492,0.003171,0.999909,0,-0.014716,2,-0.39623,-0.31099
1.006839186,0.209059031,0.156783,-0.104461,-0.03136,0.003142,1,3352861,0.37,168,0,0,1331914.825,6414572.597,1.988252,0.002045,-0.092539,0.003102,0.99991,0,-0.018454,2,-0.399277,-0.310963
1.006839186,0.209059031,0.301599,-0.085219,-0.022655,0.0031,1,3352890,0.399,168,0,0,1331914.817,6414572.615,1.988304,0.002523,-0.084758,0.003005,0.999913,0,-0.029131,2,-0.40537,-0.310909
1.006839186,0.209059031,0.269284,-0.042764,-0.02571,0.002463,1,3352931,0.44,168,0,0,1331914.808,6414572.633,1.988356,0.005908,-0.042663,0.002914,0.999916,0,-0.042409,2,-0.411463,-0.310857
1.006839186,0.209059031,-0.356652,-0.056356,-0.016394,0.002237,1,3352940,0.449,168,0,0,1331914.804,6414572.643,1.988381,0.002239,-0.05692,0.0024,0.999918,0,-0.045595,2,-0.41451,-0.310832
1.006839186,0.209059031,0.376998,-0.087052,-0.048312,0.001609,1,3352970,0.479,168,0,0,1331914.792,6414572.67,1.988433,-0.001202,-0.086823,0.001424,0.999922,0,-0.05489,2,-0.423654,-0.31077
1.006839186,0.209059031,0.025133,-0.069948,-0.04877,0.00145,1,3352980,0.489,168,0,0,1331914.788,6414572.679,1.988445,-0.000456,-0.069705,0.001267,0.999923,0,-0.057908,2,-0.426705,-0.310755
1.006839186,0.209059031,0.047873,-0.033754,-0.038843,0.000715,1,3353010,0.519,168,0,0,1331914.78,6414572.697,1.988465,0.001555,-0.033757,0.000571,0.999926,0,-0.066741,2,-0.432809,-0.310732
1.006839186,0.209059031,-0.355456,-0.028103,-0.027695,0.000437,1,3353020,0.529,168,0,0,1331914.776,6414572.706,1.98847,-0.000064,-0.028366,0.000339,0.999927,0,-0.069616,2,-0.435862,-0.310722
1.006839186,0.209059031,-0.697746,-0.058799,-0.04709,-0.000154,1,3353050,0.559,168,0,0,1331914.768,6414572.725,1.988473,-0.00855,-0.05924,-0.000319,0.99993,0,-0.078036,2,-0.441973,-0.310715
1.006839186,0.209059031,-0.439233,-0.054523,-0.077175,-0.000329,1,3353060,0.569,168,0,0,1331914.764,6414572.734,1.98847,-0.009662,-0.054646,-0.000606,0.999931,0,-0.080777,2,-0.44503,-0.310714
1.006839186,0.209059031,-0.120879,-0.044749,-0.080077,-0.000869,1,3353090,0.599,168,0,0,1331914.756,6414572.752,1.988458,-0.008737,-0.044658,-0.001159,0.999933,0,-0.084453,2,-0.451148,-0.310722
1.006839186,0.209059031,-0.336306,-0.006723,-0.087865,-0.000936,1,3353100,0.609,168,0,0,1331914.752,6414572.761,1.988448,-0.006737,-0.006403,-0.001251,0.999934,0,-0.084453,2,-0.454208,-0.310729
1.006839186,0.209059031,-0.588835,0.014046,-0.083895,-0.000941,1,3353131,0.64,168,0,0,1331914.743,6414572.78,1.988427,-0.008689,0.013706,-0.001239,0.999937,0,-0.084453,2,-0.460333,-0.31075
1.006836728,0.209061335,-0.670219,-0.025507,-0.064194,-0.000859,1,3353211,0.72,10,0,0,1331914.735,6414572.798,1.988406,-0.015019,-0.025763,-0.001086,0.999939,0,-0.084454,2,-0.466458,-0.310771
