Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
0,0.123600000006263,-0.347060000000056,-1.228922789,0,0,0,2.4
0.005,0.127623031709193,-0.358365539169738,-1.228922789,-3.45777309534997e-09,-1.38876055904092e-06,-7.49488419130511e-07,2.4
0.01,0.131646059802517,-0.369671079623884,-1.228922789,-1.39438799906711e-08,-2.81143761911273e-06,-1.49897683826102e-06,2.4
0.015,0.135669085202854,-0.380976621036317,-1.228922789,-2.98733365297539e-08,-3.5633368691572e-06,-1.8678175884022e-06,2.4
0.02,0.139692108826818,-0.392282163080864,-1.22892281987293,-4.96070379271278e-08,-4.33319189371471e-06,-2.23665833854337e-06,2.4
0.025,0.143715131150404,-0.403587705588145,-1.22892281987293,-7.16549581598427e-08,-4.48649869314797e-06,-2.26288654960024e-06,2.4
0.03,0.147738153347671,-0.414893248140375,-1.22892286593915,-9.44772231557776e-08,-4.64294124610071e-06,-2.2891147606571e-06,2.4
0.035,0.151761175635369,-0.426198790660427,-1.22892286593915,-1.16676628402702e-07,-4.23505700486121e-06,-2.00905684137057e-06,2.4
0.04,0.155784199271852,-0.437504332700519,-1.22892291308577,-1.36810224579775e-07,-3.81658699816099e-06,-1.72899892208404e-06,2.4
0.045,0.159807224378852,-0.448809874217335,-1.22892291308577,-1.53570207159385e-07,-2.88352995967872e-06,-1.17704000501408e-06,2.4
0.05,0.163830252144137,-0.460115414788212,-1.22892294869623,-1.65606923666022e-07,-1.92721059383948e-06,-6.25081087944122e-07,2.4
0.055,0.167853282741404,-0.47142095435134,-1.22892294869623,-1.71698914197823e-07,-5.03763336546774e-07,1.66197231777069e-07,2.4
0.06,0.17187631714954,-0.482726492558385,-1.2289229615704,-1.70586578899727e-07,9.54626450392412e-07,9.5747555149826e-07,2.4
0.065,0.175899355725007,-0.4940320292825,-1.2289229615704,-1.61131818737352e-07,2.83488785997018e-06,1.95722672409615e-06,2.4
0.07,0.179922399115365,-0.505337564293249,-1.22892294185023,-1.42161921285204e-07,4.7608222894178e-06,2.95697789669403e-06,2.4
0.075,0.183945447975313,-0.51664309735766,-1.22892294185023,-1.12619234631106e-07,7.0654997970585e-06,4.13602439041769e-06,2.4
0.08,0.187968502513654,-0.527948628401425,-1.22892288094831,-7.1414845734174e-08,9.42567588368676e-06,5.31507088414136e-06,2.4
